Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,83.360001,87.599998,83.360001,87.440002,86.789612,12222500
2019-11-05,87.360001,87.760002,85.760002,87.760002,87.107239,8922713
2019-11-06,87.440002,88.800003,86.320000,88.160004,87.504265,9750288
2019-11-07,88.800003,90.559998,88.720001,90.320000,89.648193,8885288
2019-11-08,89.839996,92.400002,89.120003,92.160004,91.474510,7810075
2019-11-11,91.199997,92.000000,89.919998,90.800003,90.124626,5696950
2019-11-12,90.559998,92.639999,90.320000,91.360001,90.680450,6117863
2019-11-13,90.320000,90.879997,89.440002,90.320000,89.648193,6747663
2019-11-14,89.440002,90.800003,89.440002,90.320000,89.648193,3848825
2019-11-15,90.720001,92.400002,90.639999,92.160004,91.474510,4779525
2019-11-18,91.279999,92.000000,90.639999,91.519997,90.839272,6371550
2019-11-19,91.440002,92.400002,90.080002,92.000000,91.315704,5854100
2019-11-20,91.519997,91.919998,90.080002,91.120003,90.442238,5836263
2019-11-21,90.639999,92.959999,90.480003,92.239998,91.553917,5211100
2019-11-22,91.919998,93.760002,91.919998,92.400002,91.712715,4810225
2019-11-25,93.279999,94.720001,92.559998,92.639999,91.950935,7088775
2019-11-26,92.959999,93.360001,90.480003,90.800003,90.124626,8024238
2019-11-27,91.120003,91.760002,90.080002,90.320000,89.648193,5687338
2019-11-29,90.239998,90.879997,89.760002,90.160004,89.489395,2842413
2019-12-02,90.480003,92.160004,89.120003,89.279999,88.615921,8588888
2019-12-03,88.000000,88.879997,86.480003,87.919998,87.266052,8006088
2019-12-04,89.360001,89.440002,86.959999,87.199997,86.551407,5468563
2019-12-05,87.120003,87.680000,86.080002,86.320000,85.677948,5909175
2019-12-06,87.199997,88.879997,86.800003,88.800003,88.139511,6324613
2019-12-09,87.839996,89.040001,87.760002,87.919998,87.266052,3336963
2019-12-10,87.919998,88.239998,87.360001,88.080002,87.424858,3097613
2019-12-11,87.760002,88.720001,87.599998,87.760002,87.107239,4589063
2019-12-12,90.800003,92.559998,89.919998,91.519997,90.839272,12485013
2019-12-13,92.000000,92.800003,90.639999,90.720001,90.045235,6579638
2019-12-16,90.239998,90.879997,89.040001,89.360001,88.695328,6939113
2019-12-17,89.199997,89.839996,88.639999,88.800003,88.139511,5218663
2019-12-18,88.160004,89.120003,87.360001,87.680000,87.027840,9428513
2019-12-19,87.839996,89.199997,87.839996,88.320000,87.663071,5663325
2019-12-20,88.639999,89.120003,87.199997,88.239998,87.663078,9205138
2019-12-23,88.000000,89.360001,88.000000,89.279999,88.696266,5504150
2019-12-24,88.800003,89.599998,88.720001,89.519997,88.934692,2596125
2019-12-26,89.440002,89.839996,89.040001,89.839996,89.252602,3795838
2019-12-27,89.360001,89.680000,89.040001,89.440002,88.855232,3746475
2019-12-30,88.559998,89.279999,88.239998,88.639999,88.060448,6018250
2019-12-31,88.000000,89.279999,87.680000,89.279999,88.696266,7082250
2020-01-02,89.839996,95.680000,89.839996,95.440002,94.815994,10927725
2020-01-03,92.559998,96.000000,92.239998,95.760002,95.133904,10735725
2020-01-06,94.720001,97.680000,94.720001,97.120003,96.485016,13993588
2020-01-07,97.199997,97.919998,95.360001,96.400002,95.769722,8822413
2020-01-08,95.919998,96.400002,94.959999,95.519997,94.895470,6925313
2020-01-09,96.559998,96.720001,94.639999,95.279999,94.657028,4922138
2020-01-10,94.720001,95.279999,92.720001,93.360001,92.749603,7331500
2020-01-13,93.919998,97.199997,93.440002,96.959999,96.326065,8270188
2020-01-14,97.279999,97.519997,95.919998,96.239998,95.610764,5628750
2020-01-15,96.160004,96.160004,94.639999,94.959999,94.339134,5756375
2020-01-16,95.519997,95.839996,94.559998,94.720001,94.100700,4584200
2020-01-17,94.800003,95.440002,94.080002,94.480003,93.862274,5822588
2020-01-21,93.919998,94.400002,92.879997,93.279999,92.670128,5467275
2020-01-22,93.680000,93.680000,90.800003,90.959999,90.365295,7743475
2020-01-23,93.839996,94.800003,92.800003,94.160004,93.544365,9145363
2020-01-24,95.040001,95.120003,92.959999,93.680000,93.067505,7421975
2020-01-27,91.599998,92.720001,91.040001,91.519997,90.921631,5982825
2020-01-28,92.160004,94.559998,91.760002,93.839996,93.226456,7866075
2020-01-29,100.559998,104.000000,99.919998,103.519997,102.843163,27586163
2020-01-30,103.120003,103.919998,100.000000,101.839996,101.174141,11933663
2020-01-31,101.440002,101.919998,98.720001,99.599998,98.948799,9748000
2020-02-03,99.680000,101.440002,98.000000,98.080002,97.438736,6296063
2020-02-04,99.919998,100.959999,99.120003,100.639999,99.982002,5548150
2020-02-05,102.080002,102.879997,100.559998,102.879997,102.207344,6259238
2020-02-06,103.519997,104.000000,102.639999,103.599998,102.922646,7951738
2020-02-07,104.160004,104.720001,102.480003,102.639999,101.968918,8329575
2020-02-10,102.720001,103.760002,102.160004,103.279999,102.604744,4186938
2020-02-11,103.599998,103.839996,102.239998,102.800003,102.127884,5110288
2020-02-12,103.599998,106.080002,103.040001,105.279999,104.591660,8214113
2020-02-13,104.639999,105.279999,103.199997,103.519997,102.843163,6376538
2020-02-14,103.760002,104.559998,102.000000,102.639999,101.968918,4620888
2020-02-18,101.680000,103.599998,101.360001,102.000000,101.333099,5495438
2020-02-19,101.599998,103.519997,100.720001,100.879997,100.220421,6859788
2020-02-20,101.199997,101.440002,99.279999,100.239998,99.584610,4945238
2020-02-21,99.599998,99.680000,97.760002,98.000000,97.359253,5365150
2020-02-24,93.519997,96.480003,92.800003,94.879997,94.259659,8872250
2020-02-25,95.760002,96.000000,89.440002,90.559998,89.967903,10135925
2020-02-26,90.959999,92.320000,86.400002,87.599998,87.027252,11639750
2020-02-27,84.959999,87.599998,82.480003,83.120003,82.576553,11781313
2020-02-28,79.599998,89.519997,78.879997,87.040001,86.470924,18914513
2020-03-02,89.680000,90.720001,86.080002,89.680000,89.093651,15600275
2020-03-03,90.000000,91.040001,85.360001,87.040001,86.470924,13656150
2020-03-04,88.480003,88.959999,85.599998,87.599998,87.027252,10382888
2020-03-05,84.800003,85.839996,79.599998,80.639999,80.112762,13510900
2020-03-06,77.919998,78.080002,73.440002,75.199997,74.782524,18557938
2020-03-09,66.639999,69.279999,64.879997,65.680000,65.315369,15300088
2020-03-10,70.239998,70.800003,65.279999,70.800003,70.406937,12367363
2020-03-11,68.959999,69.279999,65.279999,65.680000,65.315369,12925313
2020-03-12,57.840000,62.240002,54.639999,57.840000,57.518898,19677013
2020-03-13,62.400002,64.320000,57.520000,62.799999,62.451355,13768075
2020-03-16,55.919998,57.200001,53.200001,53.279999,52.984207,14488838
2020-03-17,55.279999,58.639999,50.400002,56.639999,56.325554,15028250
2020-03-18,52.080002,54.400002,47.200001,52.799999,52.506870,17365875
2020-03-19,51.200001,55.279999,49.200001,51.840000,51.552208,12374213
2020-03-20,56.080002,56.400002,51.599998,52.160000,51.870426,15766088
2020-03-23,51.599998,53.040001,48.240002,48.880001,48.608639,13203888
2020-03-24,53.279999,56.480000,51.759998,56.080002,55.768669,14936725
2020-03-25,59.599998,64.000000,55.680000,60.480000,60.144241,17235813
2020-03-26,61.040001,66.400002,60.080002,64.959999,64.599365,15397613
2020-03-27,61.439999,62.959999,60.320000,60.959999,60.621574,11662375
2020-03-30,60.320000,63.520000,58.799999,63.119999,62.769581,10856275
2020-03-31,62.959999,65.440002,62.560001,63.520000,63.167366,15143738
2020-04-01,60.160000,60.400002,56.000000,56.320000,56.007332,12444613
2020-04-02,56.160000,59.119999,54.160000,55.200001,54.893555,12187300
2020-04-03,56.240002,56.400002,52.639999,53.840000,53.541100,12225413
2020-04-06,56.560001,58.400002,55.520000,57.840000,57.518898,12256075
2020-04-07,61.520000,62.000000,56.000000,56.240002,55.927780,12010975
2020-04-08,57.439999,59.040001,56.480000,58.400002,58.075783,11581338
2020-04-09,59.599998,60.320000,56.720001,57.119999,56.802887,16012200
2020-04-13,57.040001,57.040001,54.080002,56.160000,55.848221,11759313
2020-04-14,56.799999,57.919998,54.720001,55.439999,55.132214,13383400
2020-04-15,53.840000,53.840000,50.799999,52.000000,51.711315,17277600
2020-04-16,51.840000,52.320000,49.599998,49.919998,49.642857,20709775
2020-04-17,51.759998,55.520000,50.720001,54.720001,54.416218,20738475
2020-04-20,52.880001,54.000000,51.680000,52.080002,51.790871,12461450
2020-04-21,51.119999,52.639999,50.400002,51.840000,51.552208,9681638
2020-04-22,52.720001,53.119999,51.200001,51.439999,51.154423,9593775
2020-04-23,51.680000,53.919998,51.439999,52.160000,51.870426,10349513
2020-04-24,52.720001,52.799999,50.000000,50.080002,49.801979,19452050
2020-04-27,51.040001,51.759998,50.639999,51.439999,51.154423,13379775
2020-04-28,52.560001,55.360001,52.560001,54.400002,54.097996,17583575
2020-04-29,53.439999,55.200001,52.160000,52.639999,52.347763,28153500
2020-04-30,52.480000,54.560001,51.279999,54.400002,54.097996,21963888
2020-05-01,53.360001,53.919998,51.279999,52.000000,51.711315,15047063
2020-05-04,50.400002,50.480000,49.200001,49.680000,49.404202,17106550
2020-05-05,50.240002,51.680000,49.279999,49.599998,49.324642,14624813
2020-05-06,49.599998,50.000000,47.759998,47.840000,47.574409,14656700
2020-05-07,48.480000,50.080002,48.480000,48.880001,48.608639,12582913
2020-05-08,49.680000,50.639999,49.279999,50.320000,50.040646,11704663
2020-05-11,49.919998,50.000000,49.040001,49.520000,49.245079,8980375
2020-05-12,49.759998,50.240002,48.000000,48.000000,47.733524,11956525
2020-05-13,48.000000,48.160000,43.840000,46.320000,46.062847,29468163
2020-05-14,44.959999,47.200001,43.840000,45.599998,45.346844,17525675
2020-05-15,44.880001,45.279999,43.840000,43.919998,43.676170,16060775
2020-05-18,45.919998,51.919998,45.919998,50.160000,49.881531,31819800
2020-05-19,50.320000,50.959999,48.720001,49.680000,49.404202,13560638
2020-05-20,50.639999,51.759998,50.320000,51.360001,51.074871,11410925
2020-05-21,51.360001,52.400002,50.639999,51.840000,51.552208,12352638
2020-05-22,51.840000,51.840000,50.160000,51.279999,50.995312,8698275
2020-05-26,54.320000,55.520000,54.320000,54.400002,54.097996,16188838
2020-05-27,58.000000,59.439999,56.720001,58.320000,57.996227,18468863
2020-05-28,59.919998,59.919998,53.919998,54.240002,53.938881,17339350
2020-05-29,52.480000,53.759998,51.520000,52.560001,52.268208,16162513
2020-06-01,52.639999,54.560001,51.919998,54.080002,53.779770,9397338
2020-06-02,55.200001,57.439999,54.880001,56.400002,56.086891,14196925
2020-06-03,57.759998,59.360001,57.439999,58.880001,58.553120,15352438
2020-06-04,58.480000,62.000000,57.360001,61.919998,61.576241,15649238
2020-06-05,67.599998,68.480003,62.639999,63.040001,62.690029,20976450
2020-06-08,65.760002,68.559998,64.879997,67.680000,67.304268,19807388
2020-06-09,65.519997,65.680000,63.200001,64.160004,63.803806,14705650
2020-06-10,63.759998,63.840000,60.160000,60.880001,60.542023,14619313
2020-06-11,56.480000,58.799999,54.720001,55.599998,55.291328,15562863
2020-06-12,58.720001,59.439999,56.639999,58.000000,57.678005,12623213
2020-06-15,55.599998,58.799999,54.799999,57.919998,57.598450,12770475
2020-06-16,61.840000,61.919998,58.320000,59.759998,59.428230,12270175
2020-06-17,60.000000,60.240002,57.599998,57.919998,57.598450,9401413
2020-06-18,57.040001,58.560001,56.160000,58.240002,57.916676,9799775
2020-06-19,59.360001,59.599998,56.720001,57.200001,56.882450,11084938
2020-06-22,57.360001,57.439999,55.680000,56.320000,56.007332,9786200
2020-06-23,56.720001,57.040001,55.759998,56.000000,55.689110,10072988
2020-06-24,55.200001,55.200001,52.160000,52.240002,51.949986,18083250
2020-06-25,52.000000,53.599998,51.360001,53.439999,53.143318,9243325
2020-06-26,52.959999,53.200001,51.599998,51.840000,51.629494,11176200
2020-06-29,52.560001,54.400002,52.000000,54.400002,54.179104,9409663
2020-06-30,53.680000,54.959999,53.279999,54.639999,54.418129,8689638
2020-07-01,55.439999,56.080002,53.680000,53.919998,53.701046,15078850
2020-07-02,54.880001,56.320000,54.480000,54.560001,54.338451,9268975
2020-07-06,55.840000,56.639999,55.119999,56.000000,55.772602,9428675
2020-07-07,55.119999,55.119999,54.000000,54.080002,53.860397,7804213
2020-07-08,54.560001,54.959999,53.759998,54.880001,54.657150,8054913
2020-07-09,54.639999,54.639999,52.639999,52.639999,52.426247,9343500
2020-07-10,52.320000,53.759998,52.240002,53.520000,53.302673,7927925
2020-07-13,54.080002,54.560001,53.119999,53.599998,53.382343,8561550
2020-07-14,53.279999,55.119999,52.560001,55.040001,54.816498,8688650
2020-07-15,56.720001,57.680000,56.240002,57.119999,56.888054,11228388
2020-07-16,56.480000,57.439999,55.919998,56.400002,56.170979,6543163
2020-07-17,56.480000,57.200001,55.840000,56.560001,56.330330,7494750
2020-07-20,56.080002,56.480000,54.880001,54.959999,54.736828,6133200
2020-07-21,55.520000,57.200001,55.200001,56.320000,56.091305,8734463
2020-07-22,55.919998,56.720001,55.200001,56.480000,56.250656,8188538
2020-07-23,56.480000,56.959999,55.759998,56.320000,56.091305,8578563
2020-07-24,56.160000,56.880001,54.560001,54.880001,54.657150,8181188
2020-07-27,54.720001,54.799999,53.520000,53.680000,53.462025,8838000
2020-07-28,53.599998,55.680000,53.520000,55.119999,54.896172,9504200
2020-07-29,55.919998,56.000000,52.160000,52.720001,52.505928,18555300
2020-07-30,52.000000,52.080002,50.080002,50.080002,49.876644,15940863
2020-07-31,50.000000,50.320000,48.000000,48.560001,48.362816,17824413
2020-08-03,49.119999,49.520000,48.160000,48.880001,48.681519,11221188
2020-08-04,48.799999,49.599998,48.799999,49.119999,48.920536,8880225
2020-08-05,49.360001,51.200001,49.119999,51.200001,50.992096,13262150
2020-08-06,50.639999,51.360001,50.240002,50.639999,50.434364,8739463
2020-08-07,50.320000,51.680000,50.000000,51.200001,50.992096,10383113
2020-08-10,51.439999,53.599998,51.040001,53.360001,53.143322,11793125
2020-08-11,54.959999,56.000000,53.520000,53.840000,53.621376,11642688
2020-08-12,54.959999,55.040001,52.639999,53.759998,53.541695,8767900
2020-08-13,52.720001,54.080002,52.720001,52.799999,52.585598,6678563
2020-08-14,52.320000,53.759998,51.759998,53.279999,53.063648,6299650
2020-08-17,53.360001,53.520000,51.599998,51.759998,51.549820,7378675
2020-08-18,51.919998,52.560001,51.279999,51.520000,51.310799,5335750
2020-08-19,51.759998,52.560001,50.799999,51.040001,50.832741,6795250
2020-08-20,50.639999,51.040001,49.680000,50.160000,49.956318,7970500
2020-08-21,50.000000,51.040001,49.840000,50.480000,50.275017,7481438
2020-08-24,50.799999,53.119999,50.400002,53.040001,52.824627,12848175
2020-08-25,53.200001,53.599998,51.840000,52.720001,52.505928,8681138
2020-08-26,52.959999,52.959999,51.520000,51.840000,51.629494,7163000
2020-08-27,52.160000,53.040001,51.599998,51.840000,51.629494,9173488
2020-08-28,52.080002,52.959999,51.759998,52.880001,52.665276,7395213
2020-08-31,52.080002,53.520000,50.080002,50.720001,50.514042,17734125
2020-09-01,50.160000,51.200001,49.200001,49.520000,49.318913,11647700
2020-09-02,49.599998,51.599998,49.360001,51.520000,51.310799,10477075
2020-09-03,51.119999,53.200001,50.240002,50.560001,50.354694,11765613
2020-09-04,51.439999,52.480000,50.080002,51.360001,51.151447,11209488
2020-09-08,50.560001,50.880001,49.040001,49.119999,48.920536,15080750
2020-09-09,49.599998,49.599998,48.160000,49.279999,49.079887,13630538
2020-09-10,49.360001,49.599998,48.000000,48.000000,47.805088,12165600
2020-09-11,48.320000,48.400002,47.439999,47.599998,47.406708,8989825
2020-09-14,47.919998,49.279999,47.680000,49.200001,49.000214,9250263
2020-09-15,49.360001,49.759998,48.160000,48.799999,48.601837,10793850
2020-09-16,48.799999,54.480000,48.400002,54.000000,53.780724,31998313
2020-09-17,54.480000,57.439999,53.360001,56.400002,56.170979,32630038
2020-09-18,55.360001,57.119999,54.959999,55.040001,54.816498,18160100
2020-09-21,53.040001,53.200001,49.840000,50.799999,50.593719,20342450
2020-09-22,51.200001,52.639999,49.680000,50.000000,49.796970,17612625
2020-09-23,50.240002,51.360001,48.799999,48.880001,48.681519,11080588
2020-09-24,48.799999,49.439999,48.000000,48.480000,48.283142,11933725
2020-09-25,48.480000,49.360001,48.160000,48.880001,48.761982,9972338
2020-09-28,49.840000,50.480000,49.439999,49.599998,49.480240,10411600
2020-09-29,49.680000,49.840000,48.480000,48.959999,48.841782,9196450
2020-09-30,49.119999,50.320000,49.119999,49.840000,49.719666,12097700
2020-10-01,50.160000,50.320000,48.880001,49.919998,49.799465,9896950
2020-10-02,48.400002,51.200001,48.400002,51.119999,50.996574,11259550
2020-10-05,51.119999,51.599998,50.560001,51.279999,51.156185,7285450
2020-10-06,51.439999,52.639999,48.880001,49.360001,49.240818,21258275
2020-10-07,49.759998,51.200001,49.680000,50.480000,50.358116,10410763
2020-10-08,50.880001,53.360001,50.720001,53.200001,53.071548,12895913
2020-10-09,56.560001,56.560001,53.599998,54.720001,54.587883,21438438
2020-10-12,55.360001,55.360001,53.919998,54.639999,54.508072,11129550
2020-10-13,54.320000,54.560001,53.279999,53.759998,53.630196,9410950
2020-10-14,53.759998,55.119999,53.759998,54.560001,54.428268,12243588
2020-10-15,53.599998,55.040001,52.880001,54.959999,54.827297,11156588
2020-10-16,55.680000,58.799999,55.520000,58.320000,58.179188,21143413
2020-10-19,59.119999,59.759998,57.840000,58.320000,58.179188,16354638
2020-10-20,58.799999,59.360001,58.160000,58.720001,58.578224,12302513
2020-10-21,58.240002,59.279999,58.160000,58.560001,58.418606,9226388
2020-10-22,58.639999,62.000000,58.560001,61.759998,61.610882,11970863
2020-10-23,63.439999,64.239998,60.480000,61.040001,60.892620,16570400
2020-10-26,59.680000,60.480000,58.240002,59.040001,58.897449,13031800
